2024-10-28 10:48:50,551 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Configure stats pid to 1236618
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Loading settings from /home/baebro/.config/wandb/settings
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Loading settings from /home/baebro/landmark_extraction/model/wandb/settings
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Applying setup settings: {'mode': None, '_disable_service': None}
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'main2.py', 'program_abspath': '/home/baebro/landmark_extraction/model/main2.py', 'program': '/home/baebro/landmark_extraction/model/main2.py'}
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_setup.py:_flush():79] Applying login settings: {}
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_init.py:_log_setup():534] Logging user logs to /home/baebro/landmark_extraction/model/wandb/run-20241028_104850-ipia8fte/logs/debug.log
2024-10-28 10:48:50,552 INFO    MainThread:1236618 [wandb_init.py:_log_setup():535] Logging internal logs to /home/baebro/landmark_extraction/model/wandb/run-20241028_104850-ipia8fte/logs/debug-internal.log
2024-10-28 10:48:50,553 INFO    MainThread:1236618 [wandb_init.py:init():621] calling init triggers
2024-10-28 10:48:50,553 INFO    MainThread:1236618 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {}
2024-10-28 10:48:50,553 INFO    MainThread:1236618 [wandb_init.py:init():671] starting backend
2024-10-28 10:48:50,553 INFO    MainThread:1236618 [wandb_init.py:init():675] sending inform_init request
2024-10-28 10:48:50,555 INFO    MainThread:1236618 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-10-28 10:48:50,556 INFO    MainThread:1236618 [wandb_init.py:init():688] backend started and connected
2024-10-28 10:48:50,558 INFO    MainThread:1236618 [wandb_init.py:init():783] updated telemetry
2024-10-28 10:48:50,559 INFO    MainThread:1236618 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2024-10-28 10:48:51,185 INFO    MainThread:1236618 [wandb_init.py:init():867] starting run threads in backend
2024-10-28 10:48:51,311 INFO    MainThread:1236618 [wandb_run.py:_console_start():2463] atexit reg
2024-10-28 10:48:51,311 INFO    MainThread:1236618 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2024-10-28 10:48:51,311 INFO    MainThread:1236618 [wandb_run.py:_redirect():2376] Wrapping output streams.
2024-10-28 10:48:51,311 INFO    MainThread:1236618 [wandb_run.py:_redirect():2401] Redirects installed.
2024-10-28 10:48:51,313 INFO    MainThread:1236618 [wandb_init.py:init():911] run started, returning control to user process
2024-10-28 10:49:01,227 INFO    MainThread:1236618 [wandb_run.py:_config_callback():1390] config_cb None None {'learning_rate': 0.001, 'epochs': 10, 'batch_size': 16, 'feature_dim': 44, 'output_dim': 128}
2024-10-28 10:53:11,133 WARNING MsgRouterThr:1236618 [router.py:message_loop():77] message_loop has been closed
